"UTC","Depth..m.","BESTPOSA_Spalte12","BESTPOSA_Spalte13"
151706,7.44,"52.34215486","12.99488318"
151707,7.46,"52.34215262","12.99489066"
151708,7.48,"52.34215037","12.99489821"
151709,7.49,"52.34214807","12.99490575"
151710,7.51,"52.34214581","12.99491326"
151711,7.53,"52.34214355","12.99492083"
151712,7.53,"52.34214138","12.99492841"
151713,7.55,"52.34213925","12.99493617"
151714,7.56,"52.34213718","12.99494397"
151715,7.59,"52.34213519","12.99495177"
151716,7.59,"52.34213319","12.99495960"
151717,7.6,"52.34213132","12.99496760"
151718,7.61,"52.34212939","12.99497552"
151719,7.62,"52.34212755","12.99498340"
151720,7.64,"52.34212570","12.99499131"
151721,7.65,"52.34212384","12.99499920"
151722,7.66,"52.34212195","12.99500707"
151723,7.66,"52.34211995","12.99501496"
151724,7.65,"52.34211796","12.99502288"
151725,7.67,"52.34211596","12.99503082"
151726,7.68,"52.34211390","12.99503865"
151727,7.69,"52.34211177","12.99504646"
151728,7.71,"52.34210964","12.99505442"
151729,7.73,"52.34210764","12.99506240"
151730,7.72,"52.34210565","12.99507026"
151731,7.75,"52.34210368","12.99507823"
151732,7.74,"52.34210173","12.99508622"
151733,7.76,"52.34209971","12.99509413"
151734,7.77,"52.34209777","12.99510211"
151735,7.75,"52.34209585","12.99511009"
151736,7.77,"52.34209402","12.99511814"
151737,7.79,"52.34209217","12.99512615"
151738,7.8,"52.34209040","12.99513422"
151739,7.81,"52.34208863","12.99514234"
151740,7.81,"52.34208682","12.99515042"
151741,7.82,"52.34208509","12.99515851"
151742,7.83,"52.34208336","12.99516657"
151743,7.85,"52.34208173","12.99517473"
151744,7.85,"52.34208014","12.99518273"
151745,7.85,"52.34207872","12.99519092"
151746,7.85,"52.34207723","12.99519913"
151747,7.86,"52.34207577","12.99520741"
151748,7.88,"52.34207427","12.99521543"
151749,7.87,"52.34207269","12.99522333"
151750,7.88,"52.34207102","12.99523117"
151751,7.88,"52.34206927","12.99523892"
151752,7.89,"52.34206761","12.99524680"
151753,7.91,"52.34206586","12.99525460"
151754,7.91,"52.34206425","12.99526257"
151755,7.91,"52.34206263","12.99527042"
151756,7.93,"52.34206098","12.99527827"
151757,7.93,"52.34205924","12.99528625"
151758,7.93,"52.34205743","12.99529415"
151759,7.95,"52.34205550","12.99530187"
151800,7.95,"52.34205360","12.99530922"
151801,7.95,"52.34205178","12.99531638"
